article number,article name ,Product Code1,Product Code2,Commodity Group Number,Commodity Group Name,Sector Number,Sector Name,Assortment Number,Assortment Name,Product Cost,Last Purchase Price,Product Retail Price
835229006300,ABSOLUT VANIL 750ML,3522900630,83522900630,8,VODKA,1,Tax,1,General Assortment,0.00,16.39,21.99
049000036879,FULL THROTTLE ENERGY 16OZ,3991,4900003687,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,1.23,2.09
816518010109,SPLITARILLOS CIGARILLOS SWAG BERRY SINGLE,1651801010,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,0.00,
CH0000000000097,T MOBILE CHECK,,,75,Vendor CHECK,2,No Tax,3,Vendor,0.00,371.37,1.00
078000098402,DR PEPPER CHERRY 20OZ,237028,7800009840,2,GROCERY,1,Tax,1,General Assortment,0.00,1.00,1.79
59775001237,C HOCOVINE 750ML,,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
77079007667,SOUTHERN R. HOT&SPICY PORK RINDS 4 OZ,,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.00,
088004060428,TAAKA GIN 1.75L,088004060428,56820268,17,GIN,1,Tax,1,General Assortment,0.00,9.17,11.99
080660391083X,NORTHERN CANADIAN 200ML,673828,,10,WHISKEY,1,Tax,4,No Sales >4 months,0.00,0.50,
816518013414,SPLITARILLOS CIGARS CALI GREEN 3 PK,1651801341,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,0.00,
820440,POPOV VODKA 200ML,,,8,VODKA,1,Tax,4,No Sales >4 months,0.00,0.00,
CH0000000000051,MISC CHECK VENDOR CHECK,,,75,Vendor CHECK,2,No Tax,3,Vendor,0.00,1.00,1.00
098382655901,2 PC WINE GLASSES,52090,9838265590,35,BAR ESSENTIALS,1,Tax,4,No Sales >4 months,0.00,3.11,5.99
785515500336,SAINT ARNOLD VARIETY PACK 12PK,00785515500336,39503,6,BEER,1,Tax,1,General Assortment,0.00,12.75,16.99
089826600120,CARTA BLANCA 12PK ,,,6,BEER,1,Tax,1,General Assortment,0.00,11.60,
856417003215,SOUTH HOUSE CHERRY LIMEADE 750ML,003166,10031668,45,MOONSHINE,1,Tax,1,General Assortment,0.00,12.75,16.99
694155356213,FIFO RETRACTABLE CAR CHARGER 1.1AMPS,9415535621,,56,GENERAL MERCHANDISE,1,Tax,1,General Assortment,0.00,0.00,
856417003284,WESTERN SON 50ML,0-85641-70032-8,0431767,8,VODKA,1,Tax,1,General Assortment,0.00,0.60,0.99
012300844352,CAMEL TURKISH BLEND JADE SILVER BOX,1230084435,315023,37,CIGARETTES,1,Tax,1,General Assortment,0.00,5.85,6.99
034100087166,REDDS APPLE ALE 6PK LNNR,034100087166,3410008716,6,BEER,1,Tax,1,General Assortment,0.00,7.50,9.99
088940000014,TAYLOR PORT 750ML,08894000001,09320396,12,WINE,1,Tax,1,General Assortment,0.00,4.50,
082928223310,CANADIAN LTD 1.75L,0-82928-22331-0,0006127,43,CANADIAN WHISKEY,1,Tax,1,General Assortment,0.00,10.50,13.99
856416003780,BACKWOODS GREEN APPLE 750ML,5641600378,85641600378,45,MOONSHINE,1,Tax,1,General Assortment,0.00,14.39,
732346266139,MODERN COCKTAIL CHAMPAGNE TOPPERS 5PK,3234626613,,5,MIXERS,1,Tax,4,No Sales >4 months,0.00,0.00,3.99
083664872473,TULLAMORE DEW CROCK POT 750ML,08366487247,27135396,10,WHISKEY,1,Tax,1,General Assortment,0.00,28.08,36.99
906963,MONTCLAIR SILVER 100S,,,37,CIGARETTES,1,Tax,4,No Sales >4 months,0.00,0.00,4.09
098554000805,BRIDGEPORT HOPEZAR IPA 6PK,9855400080,,6,BEER,1,Tax,4,No Sales >4 months,0.00,0.00,7.99
080480003135,BACARDI WOLF BERRY 750ML,00763396,076339,15,RUM,1,Tax,1,General Assortment,0.00,9.59,14.99
635985260684,MXD LONG ISLAND 16OZ CN,00635985260684,30353,6,BEER,1,Tax,1,General Assortment,0.00,1.23,1.99
056160000015,CLYDE MAYS  WHISKEY 750ML,05616000001,35762396,10,WHISKEY,1,Tax,5,Slow Seller - Old,0.00,24.50,29.99
744607069304,EL JIMADOR REPOSADO 1L,4460706930,55901348,18,TEQUILA,1,Tax,1,General Assortment,0.00,14.54,24.99
689768873318,RHUM BARBANCOURT 5 STAR 8YR 750ML,6-89768-87331-8,6073415,15,RUM,1,Tax,1,General Assortment,0.00,20.62,29.99
811538013406,THREE OLIVES PINEAPPLE 750ML,043439,1153801340,8,VODKA,1,Tax,1,General Assortment,0.00,10.87,9.99
402660,SKITTLES SOUR,193581,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.63,0.99
084444200066,JORDAN CHARD 750ML,8444420006,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
089016012184,SOBIESKI BIZON GRASS 750ML,8901601218,,8,VODKA,1,Tax,1,General Assortment,0.00,0.00,
028000202033,BUTTERFINGER,202033,2800020203,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.68,1.19
754527005368,NEW BELGIUM SESSION IPA 6PK LNNR,5452700536,71815,6,BEER,1,Tax,4,No Sales >4 months,0.00,6.99,8.99
088110021191,JOHNNIE WALKER RED 375ML,0-88110-02119-1,088110021191,16,SCOTCH,1,Tax,1,General Assortment,0.00,13.17,16.99
025900075132,ACID BLUE SINGLE ,2590007513,,33,CIGARS,1,Tax,4,No Sales >4 months,0.00,0.57,
17522016569,HOLIDAY GOLD,,,60,LOTTERY SCRATCH OFF,2,No Tax,4,No Sales >4 months,0.00,0.00,
086785211442,MARWOOD RUBY SUPMANTE 750ML,8678521144,,12,WINE,1,Tax,4,No Sales >4 months,0.00,0.00,
070137111290,BLACK & MILD JAZZ WOOD TIP SINGLE,070137111221,11129,33,CIGARS,1,Tax,1,General Assortment,0.00,0.71,0.79
851884005014,SOMRUS ORIGINAL CREAM 50ML,33842932,384293,11,LIQUEUR,1,Tax,1,General Assortment,0.00,0.60,0.99
856065002097,DEEP EDDY RUBY RED 1L,234834,5606500209,8,VODKA,1,Tax,1,General Assortment,0.00,18.00,22.99
851767001263,MIDNIGHT MOON STRAWBERRY 375ML,5176700126,,45,MOONSHINE,1,Tax,5,Slow Seller - Old,0.00,0.00,8.99
085798018727,ALEXANDER VALLY CHARDONNAY,8579801872,,12,WINE,1,Tax,4,No Sales >4 months,0.00,14.39,17.99
087872633956,STELLA ROSA TROPICAL MANGO 750ML,08787263395,8787263395,12,WINE,1,Tax,1,General Assortment,0.00,8.40,12.99
891641002528,VINI PREGIATI DACASTELLO PINOT GRIGIO 750ML,1085,9164100252,12,WINE,1,Tax,4,No Sales >4 months,0.00,7.75,10.99
082734213529,FRONTERA CAB 750ML,8273421352,,12,WINE,1,Tax,4,No Sales >4 months,0.00,2.59,3.99
855400005267,JACKSON MORGAN BANANA PUDDING CREAM 750ML,85540000526,855400005267,11,LIQUEUR,1,Tax,1,General Assortment,0.00,15.00,23.99
28293510709,BRIMS PORK RINDS SWEET & MILD BARBECUE L 1.5OZ,,,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,0.00,
082230643608,DEKUYPER CRANTASIA 375ML,8223064360,,11,LIQUEUR,1,Tax,1,General Assortment,0.00,2.39,2.99
PBR50,PBR GLASS,,,56,GENERAL MERCHANDISE,1,Tax,4,No Sales >4 months,0.00,0.00,0.99
9780965774801,RIEDEL 2pc OUVERTURE RED WINE GLASS,,,35,BAR ESSENTIALS,1,Tax,4,No Sales >4 months,0.00,0.00,
082000743507,CAPTAIN MORGAN RTD ICE TEA 1.75L,0-82000-74350-7,1650210,20,RTD,1,Tax,1,General Assortment,0.00,16.00,21.99
727344000236,NC OLD RASPUTIN 4PK LNNR,00727344000236,2734400023,6,BEER,1,Tax,1,General Assortment,0.00,7.99,8.99
073954092049,PLASTIC CHAMPAGNE FLUTE 4OZ 4PK 2PC,073954906049,7395409204,35,BAR ESSENTIALS,1,Tax,4,No Sales >4 months,0.00,1.00,1.99
851767001355,MIDNIGHT MOON PEACH 750ML,433939,5176700135,45,MOONSHINE,1,Tax,1,General Assortment,0.00,14.75,19.99
080686926948,PINNACLE LE DOUBLE EXPRESSO 750ML,8068692694,,8,VODKA,1,Tax,1,General Assortment,0.00,9.59,
868654251175,ROYAL SNACKS JAL PISTACHIO 2OZ,25117,6865425117,2,GROCERY,1,Tax,1,General Assortment,0.00,1.30,1.99
62338852577,AIR WICK SPRAY HAWAII 8 OZ,,,56,GENERAL MERCHANDISE,1,Tax,4,No Sales >4 months,0.00,0.00,
081584013099,KENDALL JACKSON GRAND RESERVE MERLOT 2012,08158401309,29120411,12,WINE,1,Tax,4,No Sales >4 months,0.00,19.50,24.99
088596118095,LLANO MERLOT 750ML,08859611809,8859611809,12,WINE,1,Tax,4,No Sales >4 months,0.00,8.75,11.99
088352128382,PEARL  CHERRY 1.75L,8835212838,,8,VODKA,1,Tax,4,No Sales >4 months,0.00,0.00,
096749086306,ADMIRAL NELSONS SPICED RUM 200ML,0-96749-08630-6,088352115306,15,RUM,1,Tax,1,General Assortment,0.00,1.00,1.99
031259009711,YELLOWTAIL PINOT GRIGIO 750ML,3125900971,6103315,12,WINE,1,Tax,1,General Assortment,0.00,5.25,6.99
858280002272,COOP F5 IPA 6PK,250304,529,6,BEER,1,Tax,4,No Sales >4 months,0.00,7.59,9.99
012300197410,CAMEL CRUSH,012300197410,1230019741,37,CIGARETTES,1,Tax,1,General Assortment,0.00,6.12,6.99
086867000254,24 OZ CAN HOLDER,00025,8686700025,2,GROCERY,1,Tax,4,No Sales >4 months,0.00,3.50,
080480075200,CASTILLO GOLD 80 1.75L PET,0-80480-07520-0,01060268,15,RUM,1,Tax,1,General Assortment,0.00,11.24,16.99
081240101108,DIA DE LOS MUERTOS PORTER 6PK,8124010110,,6,BEER,1,Tax,4,No Sales >4 months,0.00,0.00,8.49
851091006668,BUZZBALLZ BLUEBERRY 200ML,5109100666,,20,RTD,1,Tax,1,General Assortment,0.00,2.25,2.99
04929509,Diet Coke Ginger Lime CAN,492950,,2,GROCERY,1,Tax,1,General Assortment,0.00,4.73,0.69
634650020806,JAGUAR VODKA 750ML,3465002080,,8,VODKA,1,Tax,4,No Sales >4 months,0.00,0.00,
098382605234,2 PC WINE GLASSES,9838260523,,35,BAR ESSENTIALS,1,Tax,4,No Sales >4 months,0.00,1.20,2.99
085000027134,ROSE DARK HORSE 375ML,,,12,WINE,1,Tax,1,General Assortment,0.00,0.00,6.99
089819502417,GABBIANO CHIANTI ,8981950241,,12,WINE,1,Tax,4,No Sales >4 months,0.00,10.39,12.99
088076172494,OBAN 18YRS LIMITED EDT 750ML,,,10,WHISKEY,1,Tax,1,General Assortment,0.00,0.00,139.99
871930,CAPTAIN MORGAN SPICED 70 750ML TRVL,0-87000-00193-0,031490,15,RUM,1,Tax,1,General Assortment,0.00,11.92,16.99
